,CT2010,CT_Land,CT_LOT,CT_FP,Bldg/Land,Lot/Land,Bldg/Lot
34,137,6225969.14956,1642808,1148678.72185,0.184497978428,0.263863819517,0.699216659433
35,138,29013321.9859,1407772,938948.787532,0.0323626776688,0.0485215722861,0.666975041081
36,139,3586396.38517,1733054,1007621.60536,0.280956563956,0.483229909322,0.581413854017
37,140,5895861.55294,1336152,890690.290374,0.151070421579,0.226625402921,0.666608507396
38,142,12997334.8883,1186898,886026.825333,0.0681698850532,0.0913185672448,0.746506292312
39,143,43526447.3577,1792910000,775257.651501,0.0178111860389,41.1912781502,0.000432401878232
40,145,7544045.73284,1532704,859051.323572,0.113871436361,0.203167379186,0.560480904057
41,147,24154586.4896,535040,351656.819361,0.0145585940588,0.0221506586433,0.65725332566
42,149,7389475.33008,1611020,839273.306267,0.113576846634,0.218015478507,0.52095772012
43,1502,3430496.81059,2725155,946379.410233,0.275872406385,0.79439076917,0.347275443134
44,151,19698515.0298,7362142,1039371.71416,0.0527639627956,0.373740964172,0.141177895531
45,152,10022557.6626,2736902,511219.609412,0.0510069012942,0.273074208414,0.186787692585
46,153,7326567.57974,1327350,875781.279331,0.119535003233,0.181169420135,0.659796797628
47,154,36861138.4713,1917991,806244.171123,0.0218724706984,0.0520328747169,0.420358683186
48,155,6464550.94315,1407411,407737.491834,0.063072825231,0.217712105973,0.289707478366
49,157,8537482.11178,1526269,943826.796613,0.110550954515,0.178772731821,0.618388237338
50,159,7511549.45131,1043162,713508.862369,0.0949882400421,0.138874410235,0.683986631385
51,16,9078284.74579,1806239,832530.040477,0.0917056540734,0.198962584957,0.460919092367
52,161,7371904.78263,1166241,761943.675377,0.103357774937,0.158200768239,0.653332952089
53,162,7471751.93786,8689060,650527.281369,0.0870648927827,1.16292137002,0.0748673943291
54,163,13530388.7331,917417,698317.472781,0.0516110428574,0.0678041864204,0.761177820752
55,164,14240494.7821,1775572,436628.084438,0.0306610192356,0.124684712657,0.245908408354
56,165,6246760.0112,6069962,900362.059344,0.144132647601,0.971697646319,0.148330757152
57,166,10009309.4497,1486286,681035.828757,0.0680402411554,0.148490363643,0.45821317617
58,167,6228561.8471,3658035,619671.249484,0.0994886564019,0.587300100697,0.169400032937
59,168,6195341.65651,6131494,664782.957291,0.107303679789,0.989694247703,0.108421040172
60,169,16214016.1757,1443040,904730.11445,0.0557992606302,0.0889995411601,0.62696121691
61,170,91684461.3992,6468682,581595.858314,0.00634345067243,0.0705537438,0.0899094836188
62,171,19728208.9419,1184175,760683.126288,0.0385581442557,0.0600244555138,0.642373911194
63,172,6209691.36655,1605116,614060.400403,0.0988874267908,0.258485632417,0.382564500262
64,173,7385652.45411,1352654,827953.420662,0.112102949036,0.183146175427,0.612095495716
65,175,25052344.0022,1123254,801211.403697,0.031981494571,0.0448362835789,0.713294948157
66,177,70347493.002,2632474,776585.386477,0.0110392759335,0.0374210066011,0.295002110743
67,178,6482502.50087,1955601,780768.863022,0.120442508571,0.301673774864,0.399247526986
68,179,10736537.188,876567,662984.364035,0.0617502973655,0.0816433627203,0.756341915718
69,18,36229999.2328,1712104,898005.679719,0.0247862461699,0.0472565287401,0.524504165471
70,180,5717245.04296,7648469,619448.636023,0.10834740008,1.33778925733,0.0809898864757
71,181,63525424.5658,1202164,572877.342984,0.00901807972004,0.0189241395586,0.476538428188
72,182,6447851.16598,3219069,620677.494271,0.0962611385241,0.499246790463,0.192812733828
