BoroCT2010,LotArea,FootPrint,FloorSpace,AssessLand
1006500,1410675.0,787717.441478,4226810.0,172809261.0
1006600,1094925.0,690278.591479,6544814.0,107238719.0
1006700,1030477.0,753288.203553,3666019.0,88000635.0
1006800,1121058.0,971469.235248,8637644.0,250085903.0
1006900,1802902.0,1054387.3667,4038050.0,146530989.0
1007000,1232588.0,745302.204496,5702897.0,118003357.0
1007100,1059115.0,798581.055075,4848719.0,131256937.0
1007200,1079309.0,835420.273747,9742394.0,328174103.0
1007300,1133458.0,852524.522693,3822737.0,124301957.0
1007400,1051262.0,937992.251483,11820661.0,398582289.0
1007500,832339.0,630786.481719,3420511.0,95466807.0
1007600,1083981.0,1005243.20425,11661287.0,516267709.0
1007700,1097958.0,803120.148724,4128446.0,118611786.0
1007800,901139.0,622005.235094,6379288.0,153531335.0
1007900,1914595.0,1055932.40217,5011454.0,162523323.0
1008000,1004836.0,788372.379033,10837264.0,325302487.0
1008100,1224009.0,967802.425759,6645877.0,128677607.0
1008200,1100284.0,972559.071657,14546495.0,537791076.0
1008300,1045743.0,828475.71148,5543887.0,113253563.0
1008400,1026759.0,864121.5135,9185663.0,410338366.0
1008601,204037.0,145713.4574,2042552.0,68002145.0
1008602,659375.0,348330.416938,2400000.0,172509300.0
1008603,689045.0,456290.70945,5183151.0,125018031.0
1008700,1150658.0,962152.62795,6270714.0,149936053.0
1008800,982207.0,772263.147279,12404194.0,341816332.0
1008900,1137546.0,725437.976324,3773662.0,77030564.0
1009000,1189343.0,890141.290301,12721773.0,426159972.0
1009100,1181467.0,1069307.26281,8353970.0,168734457.0
1009200,1085191.0,891151.47469,14978939.0,525078822.0
1009300,1224016.0,654621.913306,6085668.0,73726528.0
1009400,962891.0,853130.340974,15459102.0,519861888.0
1009500,1089847.0,986606.554397,9212498.0,173526004.0
1009600,1140412.0,1037423.90318,15339954.0,680448468.0
1009700,1172924.0,640435.333216,5397781.0,85129818.0
1009800,1219752.0,907608.994695,8664833.0,298781391.0
1009900,6449009.0,3961125.58048,22588784.0,597278766.0
1010000,1012983.0,839414.238828,14416049.0,612725984.0
1010100,862219.0,763901.230929,10290416.0,336245688.0
1010200,1080793.0,952912.647934,16268499.0,837364094.0
1010300,450929.0,387003.924213,4216735.0,62512089.0
1010400,1189756.0,1011398.2108,15415506.0,960044293.0
1010601,763759.0,500255.931829,8692768.0,162183079.0
1010602,685333.0,405829.063675,3974692.0,99243004.0
1010800,1183346.0,929961.917411,11611802.0,372294541.0
1010900,1136437.0,1102187.22874,17184880.0,389356628.0
1011000,966885.0,723107.264451,6157769.0,197350683.0
1011100,874728.0,770094.029976,7283558.0,108827947.0
1011201,495491.0,433016.11927,5929602.0,454696867.0
1011202,459873.0,400609.252842,7709289.0,449448327.0
1011203,456668.0,397144.393182,6132156.0,291131368.0
1011300,1109732.0,1044210.71604,18372918.0,585646550.0
1011401,575322.0,484283.070806,5509706.0,479673593.0
1011402,664144.0,535937.180017,5414750.0,235842938.0
1011500,815190.0,747999.085067,6891763.0,173418111.0
1011600,1275386.0,907025.45993,7130436.0,202009965.0
1011700,2050566.0,1340185.04344,7277993.0,339173549.0
1011800,1155136.0,808038.735483,8459103.0,231728792.0
1011900,1072860.0,1018019.46126,14326600.0,778112485.0
1012000,1136248.0,881065.920499,7128261.0,359201550.0
1012100,1173946.0,916133.479899,6390518.0,134887389.0
1012200,1122180.0,912342.150433,7653030.0,448611901.0
1012400,953170.0,763970.396741,8100378.0,195104878.0
1012500,1118716.0,934374.295538,14852002.0,913152231.0
1012600,1276428.0,936853.445666,8890705.0,237207378.0
1012700,1178974.0,882117.612076,6190059.0,163819903.0
1012800,1166207.0,889031.39394,8564643.0,295998132.0
1012900,2571004.0,1479344.33119,9103010.0,239545391.0
1013000,1150408.0,908967.654161,8338299.0,413919187.0
1013100,1032159.0,875960.667007,17069629.0,947046673.0
1013200,1184844.0,773083.532643,6278236.0,167184193.0
1013300,1224891.0,925796.514448,5070459.0,129348861.0
1013400,1274173.0,921435.104146,7510787.0,236693604.0
1013500,1950382.0,1360875.88004,9740730.0,190273546.0
1013600,1436028.0,1031032.10057,10576433.0,239509089.0
1013700,1365864.0,1147125.66165,16508921.0,902401937.0
1013800,1275671.0,932854.25705,7720351.0,165466020.0
1013900,1270230.0,995120.307881,8873450.0,212386151.0
1014000,1182111.0,884803.74346,7698352.0,190094537.0
1014200,1171341.0,886026.825333,7811983.0,312953317.0
