,ZipCode,LandArea,LotArea,BldgArea,AllZoning1,AssessLand,BBL
32537,10014,14151051.86,2164.0,0.0,C1-6                       ,435150.0,1006250034.0
32538,10014,14151051.86,58.0,0.0,C1-6                       ,765.0,1006250037.0
32539,10014,14151051.86,640.0,2400.0,C1-6                       ,42939.0,1006250038.0
32540,10014,14151051.86,757.0,1854.0,C1-6                       ,191738.0,1006250039.0
32541,10014,14151051.86,860.0,2560.0,C1-6                       ,40195.0,1006250040.0
32542,10014,14151051.86,960.0,1800.0,C1-6                       ,36991.0,1006250041.0
32543,10014,14151051.86,840.0,2400.0,C1-6                       ,52066.0,1006250042.0
32544,10014,14151051.86,500.0,1656.0,C1-6                       ,192965.0,1006250043.0
32545,10014,14151051.86,1980.0,8560.0,C1-6                       ,86792.0,1006250044.0
32546,10014,14151051.86,900.0,2557.0,C1-6                       ,48659.0,1006250051.0
32547,10014,14151051.86,1540.0,3998.0,C1-6                       ,247952.0,1006250052.0
32548,10014,14151051.86,571.0,0.0,C1-6                       ,103500.0,1006250054.0
32549,10014,14151051.86,800.0,0.0,C1-6                       ,144000.0,1006250055.0
32550,10014,14151051.86,3020.0,10552.0,C1-6                       ,675000.0,1006250056.0
32551,10014,14151051.86,997.0,3988.0,C1-6                       ,160217.0,1006250058.0
32552,10014,14151051.86,748.0,1919.0,C1-6                       ,27901.0,1006250059.0
32553,10014,14151051.86,1560.0,4584.0,C1-6                       ,160263.0,1006250062.0
32554,10014,14151051.86,2080.0,4864.0,C1-6                       ,228600.0,1006250063.0
32555,10014,14151051.86,1062.0,2727.0,C1-6                       ,47494.0,1006250065.0
32556,10014,14151051.86,1365.0,4200.0,C1-6                       ,82292.0,1006250066.0
32557,10014,14151051.86,10875.0,132846.0,C1-6                       ,2090237.0,1006257501.0
32558,10014,14151051.86,6695.0,15250.0,R6                         ,549000.0,1006260001.0
32559,10014,14151051.86,4807.0,10000.0,R6                         ,225000.0,1006260004.0
32560,10014,14151051.86,934.0,3160.0,R6                         ,65962.0,1006260006.0
32561,10014,14151051.86,933.0,2160.0,R6                         ,40825.0,1006260007.0
32562,10014,14151051.86,950.0,2090.0,R6                         ,35437.0,1006260008.0
32563,10014,14151051.86,979.0,2052.0,R6                         ,58046.0,1006260009.0
32564,10014,14151051.86,996.0,2052.0,R6                         ,43787.0,1006260010.0
32565,10014,14151051.86,16682.0,262297.0,C1-6                       ,3870000.0,1006260012.0
32566,10014,14151051.86,865.0,3204.0,C1-6                       ,179725.0,1006260021.0
32567,10014,14151051.86,1082.0,3324.0,C1-6                       ,256598.0,1006260022.0
32568,10014,14151051.86,1045.0,2890.0,C1-6                       ,161879.0,1006260023.0
32569,10014,14151051.86,1720.0,6160.0,C1-6                       ,67447.0,1006260024.0
32570,10014,14151051.86,2052.0,8150.0,C1-6                       ,156600.0,1006260025.0
32571,10014,14151051.86,2982.0,9230.0,C1-6                       ,472500.0,1006260026.0
32572,10014,14151051.86,2616.0,12657.0,C1-6                       ,468000.0,1006260027.0
32573,10014,14151051.86,1392.0,2760.0,C1-6                       ,70060.0,1006260029.0
32574,10014,14151051.86,1200.0,3800.0,C1-6                       ,52388.0,1006260030.0
32575,10014,14151051.86,1240.0,2800.0,R6                         ,47581.0,1006260031.0
32576,10014,14151051.86,4382.0,15785.0,R6                         ,417150.0,1006260032.0
32577,10014,14151051.86,2181.0,8655.0,R6                         ,294300.0,1006260034.0
32578,10014,14151051.86,2188.0,8455.0,R6                         ,295200.0,1006260035.0
32579,10014,14151051.86,8637.0,41970.0,R6                         ,900000.0,1006260036.0
32580,10014,14151051.86,4375.0,18564.0,C1-6                       ,254700.0,1006260038.0
32581,10014,14151051.86,1628.0,9696.0,C1-6                       ,244679.0,1006260040.0
32582,10014,14151051.86,3256.0,14540.0,C1-6                       ,387000.0,1006260041.0
32583,10014,14151051.86,1557.0,6555.0,C1-6                       ,155002.0,1006260043.0
32584,10014,14151051.86,803.0,5803.0,C1-6                       ,46707.0,1006260044.0
32585,10014,14151051.86,1632.0,3400.0,C1-6                       ,63440.0,1006260045.0
32586,10014,14151051.86,1894.0,4746.0,C1-6                       ,180612.0,1006260046.0
32587,10014,14151051.86,2200.0,5924.0,C1-6                       ,194085.0,1006260047.0
32588,10014,14151051.86,2319.0,9190.0,R6                         ,292500.0,1006260050.0
32589,10014,14151051.86,2319.0,8965.0,R6                         ,495000.0,1006260051.0
32590,10014,14151051.86,2406.0,9155.0,R6                         ,292500.0,1006260052.0
32591,10014,14151051.86,2406.0,8727.0,R6                         ,124783.0,1006260053.0
32592,10014,14151051.86,2309.0,7650.0,R6                         ,180000.0,1006260054.0
32593,10014,14151051.86,1187.0,2850.0,C1-6                       ,76942.0,1006260055.0
32594,10014,14151051.86,901.0,2508.0,C1-6                       ,64899.0,1006260056.0
32595,10014,14151051.86,1350.0,4092.0,R6                         ,92539.0,1006270001.0
32596,10014,14151051.86,9600.0,47800.0,M1-5                       ,900000.0,1006270005.0
32597,10014,14151051.86,2206.0,8195.0,M1-5                       ,351000.0,1006270007.0
32598,10014,14151051.86,2225.0,7875.0,M1-5                       ,720000.0,1006270008.0
32599,10014,14151051.86,1592.0,4888.0,M1-5                       ,99335.0,1006270009.0
