,BoroCT2010,LotArea,FP,CT_Land,Bldg/Land,Lot/Land,Bldg/Lot
168,1016200,1779900.0,650527.281369,2924177.05623,22.25,60.87,36.55
169,1016300,2727715.0,701705.533346,2861319.98167,24.52,95.33,25.73
170,1016400,1254893.0,478153.47335,1911300.53779,25.02,65.66,38.1
171,1016500,1555355.0,900362.059344,2198742.30711,40.95,70.74,57.89
172,1016600,1058161.0,681035.828757,1872055.57576,36.38,56.52,64.36
173,1016700,4123714.0,623463.220813,2195089.25503,28.4,187.86,15.12
174,1016800,1339748.0,664782.957291,2151827.96888,30.89,62.26,49.62
175,1016900,1303592.0,906632.51033,1937088.12181,46.8,67.3,69.55
176,1017000,1278014.0,581595.858314,1969157.93986,29.54,64.9,45.51
177,1017100,1005427.0,760683.126288,2261887.34785,33.63,44.45,75.66
178,1017200,999052.0,614060.400402,1912754.69231,32.1,52.23,61.46
179,1017300,1238958.0,827953.420662,1922492.17362,43.07,64.45,66.83
180,1017401,625110.0,331417.657719,1086638.95422,30.5,57.53,53.02
181,1017402,228385.0,148617.555361,547579.180176,27.14,41.71,65.07
182,1017500,2031448.0,760790.744054,2318953.25693,32.81,87.6,37.45
183,1017700,1287135.0,776585.386477,1879137.15056,41.33,68.5,60.33
184,1017800,1675655.0,780768.863022,2663014.71169,29.32,62.92,46.59
185,1017900,1929067.0,668601.668594,2278120.86403,29.35,84.68,34.66
186,1018000,1549805.0,619448.636023,2287541.21684,27.08,67.75,39.97
187,1018100,945887.0,574252.927674,1489438.00029,38.56,63.51,60.71
188,1018200,1168069.0,620677.494271,1904007.70829,32.6,61.35,53.14
189,1018300,1972762.0,668735.426019,2391019.3265,27.97,82.51,33.9
190,1018400,1196591.0,481780.692204,1903568.31875,25.31,62.86,40.26
191,1018500,938243.0,349423.051668,1406908.14232,24.84,66.69,37.24
192,1018600,928204.0,291979.672008,1311722.27263,22.26,70.76,31.46
193,1018700,891957.0,641640.389645,2323892.3028,27.61,38.38,71.94
194,1018800,930809.0,644037.322016,1599376.13286,40.27,58.2,69.19
195,1018900,2019297.0,798292.528435,2854221.16207,27.97,70.75,39.53
196,1019000,703238.0,446960.011067,1117371.64056,40.0,62.94,63.56
197,1019100,1944654.0,632726.799365,2385127.33758,26.53,81.53,32.54
198,1019200,1041816.0,238278.902137,2048253.28499,11.63,50.86,22.87
199,1019300,1167389.0,731309.272589,1892879.09066,38.63,61.67,62.64
