,BoroCT2010,boroname,LotArea,FootPrint,FloorSpace,SurfaceArea,ct_density,dist_from_esb,floorarea_sqft,s,p,f,l,r
85,1011100,Manhattan,906770.0,789066.105782,7283558.0,1889012.18619,3.77427528108,779.155800236,7129652,3.8557,0.4177,9.2306,0.48,0.8702
86,1011300,Manhattan,1096057.0,1029717.91786,17716041.0,1890907.33104,9.81085624635,435.455682284,18551420,9.3691,0.5446,17.2048,0.5796,0.9395
87,1011500,Manhattan,877603.0,802914.279041,6891763.0,1889825.65239,3.646771855,861.122348622,6891763,3.6468,0.4249,8.5834,0.4644,0.9149
88,1011600,Manhattan,1275386.0,907025.45993,7130436.0,2117484.29199,3.71392743254,2712.63007385,7864183,3.3674,0.4284,7.8613,0.6023,0.7112
89,1011700,Manhattan,1493216.0,632727.302852,3850807.0,2136884.28051,1.80739688865,1376.34929112,3862198,1.8021,0.2961,6.086,0.6988,0.4237
90,1011800,Manhattan,1167688.0,815936.46779,8459103.0,1903276.09728,4.44843657318,2556.46012506,8466603,4.4445,0.4287,10.3674,0.6135,0.6988
91,1011900,Manhattan,1191491.0,1122217.73094,14214947.0,1911310.5219,7.44274247277,727.75952678,14225392,7.4373,0.5871,12.6668,0.6234,0.9419
92,1012000,Manhattan,1142333.0,885916.972371,7126425.0,1862415.44246,3.83180188335,2410.36050482,7136407,3.8264,0.4757,8.0441,0.6134,0.7755
93,1012100,Manhattan,1194460.0,932930.297653,6390518.0,1919460.65715,3.35493826144,1039.9689035,6439672,3.3293,0.486,6.8499,0.6223,0.781
94,1012200,Manhattan,1153440.0,938721.626813,7664815.0,1857829.53105,4.18428379465,2379.89241222,7773686,4.1257,0.5053,8.1652,0.6209,0.8138
95,1012400,Manhattan,1007891.0,819911.098145,8100378.0,1847564.26452,4.76478473256,3077.20709929,8803246,4.3844,0.4438,9.8796,0.5455,0.8135
96,1012500,Manhattan,1180667.0,990931.780812,14852002.0,1875481.62066,7.92899745654,1039.56990638,14870689,7.919,0.5284,14.9879,0.6295,0.8393
97,1012600,Manhattan,1276428.0,936853.445666,8890705.0,1976487.48125,4.56557761463,2940.65782571,9023807,4.4982,0.474,9.49,0.6458,0.734
98,1012700,Manhattan,1200224.0,902750.670782,6190059.0,1871751.38333,3.32337620017,1278.77763674,6220534,3.3071,0.4823,6.8569,0.6412,0.7522
99,1012800,Manhattan,1166207.0,889031.39394,8564643.0,1924402.65723,4.47263776511,2960.62694205,8607156,4.4505,0.462,9.6337,0.606,0.7623
100,1012900,Manhattan,3875891.0,1793364.04283,9103010.0,4355081.72078,2.30812683767,1495.21796213,10052081,2.0902,0.4118,5.0759,0.89,0.4627
101,1013000,Manhattan,1150408.0,920732.324652,8338299.0,1918144.49944,4.34706509464,2935.38442638,8338299,4.3471,0.48,9.0562,0.5998,0.8004
102,1013100,Manhattan,1193709.0,1029974.48537,17069629.0,1874645.4961,9.10552370329,1352.40085219,17069629,9.1055,0.5494,16.5729,0.6368,0.8628
103,1013200,Manhattan,1184844.0,773083.532643,6278236.0,2148206.13502,2.96793584939,3463.87365311,6375738,2.9225,0.3599,8.121,0.5516,0.6525
104,1013300,Manhattan,1247083.0,941782.44099,5070459.0,1876725.7388,2.70193715318,1542.84522604,5070795,2.7018,0.5018,5.3839,0.6645,0.7552
105,1013400,Manhattan,1289289.0,935353.518197,7510787.0,1956780.7626,3.84792979567,3342.92108119,7529555,3.8383,0.478,8.0299,0.6589,0.7255
106,1013500,Manhattan,3033465.0,1761232.98115,9801530.0,4513475.18656,2.43290647364,1879.97617229,10980863,2.1716,0.3902,5.5652,0.6721,0.5806
107,1013600,Manhattan,2086427.0,1053761.00738,10583933.0,2358422.79807,4.4887002486,3852.26185606,10586253,4.4877,0.4468,10.044,0.8847,0.5051
108,1013700,Manhattan,1376407.0,1157156.73256,16508921.0,2435167.66935,7.19616115989,1665.83444405,17523859,6.7794,0.4752,14.2668,0.5652,0.8407
109,1013800,Manhattan,1283929.0,938948.787532,7747711.0,1959555.68567,3.95855553212,3743.64302561,7757010,3.9538,0.4792,8.2515,0.6552,0.7313
110,1013900,Manhattan,1285114.0,1007621.60536,8873450.0,1955059.85243,4.538710152,1824.23045198,8873450,4.5387,0.5154,8.8063,0.6573,0.7841
111,1014000,Manhattan,1185857.0,887336.598011,7710625.0,1925984.22252,4.08439586785,3531.50986538,7866482,4.0035,0.4607,8.6896,0.6157,0.7483
112,1014200,Manhattan,1171341.0,886026.825333,7811983.0,1927688.28305,4.0525136085,3510.47014068,7811983,4.0525,0.4596,8.8169,0.6076,0.7564
113,1014500,Manhattan,1105767.0,859051.323572,10048751.0,1897994.08995,5.49277210883,2127.77738163,10425249,5.2944,0.4526,11.6975,0.5826,0.7769
114,1014700,Manhattan,462238.0,351656.819361,3247900.0,703936.349311,4.61391147535,2383.79724847,3247900,4.6139,0.4996,9.236,0.6566,0.7608
115,1014900,Manhattan,1256494.0,818707.821888,6775996.0,1880349.86996,4.06076024573,2427.21404826,7635650,3.6036,0.4354,8.2765,0.6682,0.6516
116,1015100,Manhattan,1439642.0,870603.334175,8253541.0,3579761.10442,2.60338629539,2546.68593103,9319501,2.3056,0.2432,9.4803,0.4022,0.6047
117,1015200,Manhattan,1240371.0,482825.312689,4323430.0,1913189.43076,2.25980236483,4642.38128483,4323430,2.2598,0.2524,8.9544,0.6483,0.3893
118,1015300,Manhattan,1120627.0,875781.279331,8771649.0,1872392.64555,4.68648123611,2731.57809181,8774933,4.6847,0.4677,10.0158,0.5985,0.7815
119,1015400,Manhattan,1337999.0,806244.171123,8079585.0,1909222.24485,4.48196066387,4553.12524526,8557059,4.2319,0.4223,10.0213,0.7008,0.6026
120,1015500,Manhattan,1211461.0,407737.491834,7855483.0,2035791.20349,4.04062999481,2934.61444006,8225879,3.8587,0.2003,19.266,0.5951,0.3366
121,1015700,Manhattan,1264440.0,930109.015187,8180370.0,1967465.56483,4.15782118184,3035.90736191,8180370,4.1578,0.4727,8.7951,0.6427,0.7356
122,1015900,Manhattan,1008490.0,713508.862369,7620381.0,1867947.75475,4.08286954526,3220.41408128,7626587,4.0795,0.382,10.6801,0.5399,0.7075
123,1016100,Manhattan,1139728.0,761943.675377,4947354.0,1676887.39948,2.95453946493,3358.99257896,4954430,2.9503,0.4544,6.4931,0.6797,0.6685
124,1016200,Manhattan,1765468.0,638805.035312,4965625.0,2924177.05623,1.70338180767,5190.92008138,4980990,1.6981,0.2185,7.7733,0.6037,0.3618
125,1016300,Manhattan,881115.0,698317.472781,5812427.0,2861319.98167,2.07063664251,3526.48132975,5924754,2.0314,0.2441,8.3235,0.3079,0.7925
126,1016400,Manhattan,854813.0,436628.084438,2824891.0,1911300.53779,1.53668245361,5353.62937057,2937062,1.478,0.2284,6.4698,0.4472,0.5108
127,1016500,Manhattan,1555355.0,900362.059344,6118406.0,2198742.30711,2.78626057278,3599.91445292,6126269,2.7827,0.4095,6.7955,0.7074,0.5789
128,1016600,Manhattan,1045464.0,672545.012789,3087576.0,1872055.57576,1.67908102767,5242.59927901,3143333,1.6493,0.3593,4.5909,0.5585,0.6433
129,1016800,Manhattan,1339748.0,664782.957291,6967146.0,2151827.96888,3.28284886253,5227.95702429,7064126,3.2378,0.3089,10.4803,0.6226,0.4962
130,1016900,Manhattan,1298588.0,904508.299764,6014274.0,1937088.12181,3.10480144516,4000.9791089,6014274,3.1048,0.4669,6.6492,0.6704,0.6965
131,1017000,Manhattan,1260353.0,577307.191717,3661477.0,1969157.93986,1.9090657605,5748.43867955,3759252,1.8594,0.2932,6.3423,0.64,0.4581
132,1017100,Manhattan,1005427.0,760683.126288,6628053.0,2261887.34785,2.93031967587,4142.41629711,6628053,2.9303,0.3363,8.7133,0.4445,0.7566
133,1017200,Manhattan,997362.0,613420.170672,2966523.0,1912754.69231,1.55124596579,5800.25478002,2967153,1.5509,0.3207,4.836,0.5214,0.615
134,1017300,Manhattan,1236692.0,825786.726857,6381697.0,1922492.17362,3.32434539276,4323.6763198,6391028,3.3195,0.4295,7.728,0.6433,0.6677
135,1017500,Manhattan,1060573.0,801211.403697,7471781.0,2318953.25693,3.22204899028,4454.95508798,7471781,3.222,0.3455,9.3256,0.4573,0.7555
136,1017700,Manhattan,1287135.0,776585.386477,6834448.0,1879137.15056,3.63701393374,4645.11888325,6834448,3.637,0.4133,8.8006,0.685,0.6033
137,1017800,Manhattan,1656397.0,774656.761171,3515111.0,2663014.71169,1.32654918671,6381.67678524,3532620,1.32,0.2909,4.5376,0.622,0.4677
138,1017900,Manhattan,876567.0,662984.364035,5588422.0,2278120.86403,2.45308406952,4765.97771196,5588422,2.4531,0.291,8.4292,0.3848,0.7563
139,1018000,Manhattan,1453936.0,598309.794091,3165779.0,2287541.21684,1.42250639072,6156.35353517,3254042,1.3839,0.2616,5.2912,0.6356,0.4115
140,1018100,Manhattan,944176.0,572877.342984,6278983.0,1489438.00029,4.34102325759,4958.86224115,6465685,4.2157,0.3846,10.9604,0.6339,0.6067
141,1018200,Manhattan,1162641.0,617149.155143,3275727.0,1904007.70829,1.76599705209,6371.46367348,3362472,1.7204,0.3241,5.3078,0.6106,0.5308
142,1018300,Manhattan,878053.0,659690.49661,5078918.0,2391019.3265,2.12688285019,5072.87444501,5085418,2.1242,0.2759,7.6989,0.3672,0.7513
143,1018400,Manhattan,1189991.0,476308.729666,3331765.0,1903568.31875,1.80460925209,6360.83588272,3435197,1.7503,0.2502,6.995,0.6251,0.4003
144,1018500,Manhattan,938243.0,349423.051668,4364684.0,1406908.14232,3.11807066008,5209.19920193,4386839,3.1023,0.2484,12.4911,0.6669,0.3724
145,1018600,Manhattan,884647.0,291543.688959,1626810.0,1311722.27263,1.24020917685,6201.01276047,1626810,1.2402,0.2223,5.58,0.6744,0.3296
146,1018700,Manhattan,891957.0,641640.389645,5684674.0,2323892.3028,2.44618650922,5393.14808055,5684674,2.4462,0.2761,8.8596,0.3838,0.7194
147,1018800,Manhattan,921629.0,641459.808888,2882509.0,1599376.13286,1.84920478631,6632.54187884,2957574,1.8023,0.4011,4.4937,0.5762,0.696
148,1018900,Manhattan,1934581.0,797751.821179,4980014.0,2854221.16207,1.74493205579,5444.66876037,4980422,1.7448,0.2795,6.2426,0.6778,0.4124
149,1019000,Manhattan,681794.0,432763.649835,2249608.0,1117371.64056,2.01330328992,6593.36797265,2249608,2.0133,0.3873,5.1982,0.6102,0.6347
150,1019100,Manhattan,851570.0,630368.296961,5609307.0,2385127.33758,2.35365672581,5702.33361887,5613771,2.3518,0.2643,8.8985,0.357,0.7402
151,1019200,Manhattan,1010602.0,235983.814329,1113774.0,2048253.28499,0.544646508406,7022.33345609,1115574,0.5438,0.1152,4.7197,0.4934,0.2335
152,1019300,Manhattan,1117304.0,689849.459437,4354936.0,1892879.09066,2.32955027173,5922.98342467,4409557,2.3007,0.3644,6.3129,0.5903,0.6174
153,1019400,Manhattan,1184109.0,529052.057441,3348208.0,1881141.41354,1.80644898653,6965.5381659,3398186,1.7799,0.2812,6.3287,0.6295,0.4468
154,1019600,Manhattan,992447.0,657744.770991,3274389.0,1902090.81861,1.73509433288,6939.25452057,3300307,1.7215,0.3458,4.9782,0.5218,0.6628
155,1019800,Manhattan,1562842.0,482130.942287,2236492.0,2431074.16976,0.989024534878,6928.25830044,2404392,0.92,0.1983,4.6388,0.6429,0.3085
156,1019900,Manhattan,949485.0,680100.386181,5324799.0,2406472.69737,2.21269869624,6334.42835891,5324799,2.2127,0.2826,7.8294,0.3946,0.7163
157,1020000,Manhattan,810318.0,585144.882795,2417859.0,1391141.17595,1.82165551837,6927.81709601,2534180,1.738,0.4206,4.1321,0.5825,0.7221
158,1020300,Manhattan,1427937.0,685798.502035,4127486.0,1916590.00457,2.15355709367,6649.88423132,4127486,2.1536,0.3578,6.0185,0.745,0.4803
159,1020500,Manhattan,755484.0,506613.706371,4258676.0,2977096.20297,1.43047980638,6709.90799676,4258676,1.4305,0.1702,8.4062,0.2538,0.6706
160,1020600,Manhattan,846231.0,550110.332933,2303796.0,1602693.80227,1.46326765392,7498.53819781,2345170,1.4375,0.3432,4.1879,0.528,0.6501
161,1020800,Manhattan,992721.0,585630.833612,2631041.0,1599291.86723,1.64512873098,7498.09325944,2631041,1.6451,0.3662,4.4927,0.6207,0.5899
162,1021000,Manhattan,993159.0,264080.703028,2579201.0,2157287.86383,1.19557572415,7977.09620373,2579201,1.1956,0.1224,9.7667,0.4604,0.2659
163,1021100,Manhattan,1505256.0,750986.287302,5651803.0,3738242.92545,1.51188756662,7287.93978193,5651803,1.5119,0.2009,7.5258,0.4027,0.4989
164,1021200,Manhattan,1280445.0,658227.722656,5359576.0,1900292.29558,2.87720789729,7976.10723622,5467536,2.8204,0.3464,8.1424,0.6738,0.5141
