,CensusTract,LotArea,FootPrint,FloorSpace,AssessLand,SurfaceArea,Neighborhood,land-lot,lot-fp,s,p,f,l,r
165,1016002,300199.0,228569.511725,1899608.0,18270917.0,554061.784989,East Harlem South,253862.784989,71629.488275,3.4285,0.4125,8.3109,0.5418,0.7614
166,1016100,1121852.0,761549.06825,4947354.0,190622481.0,1676887.39948,Upper West Side,555035.39948,360302.93175,2.9503,0.4541,6.4964,0.669,0.6788
167,1016200,1765468.0,638805.035312,4965625.0,40551300.0,2924177.05623,East Harlem South,1158709.05623,1126662.96469,1.6981,0.2185,7.7733,0.6037,0.3618
168,1016300,1296416.0,673183.13162,5812860.0,197691115.0,2861319.98167,Upper West Side,1564903.98167,623232.86838,2.0315,0.2353,8.6349,0.4531,0.5193
169,1016400,1254893.0,478153.47335,3399891.0,27292364.0,1911300.53779,East Harlem South,656407.53779,776739.52665,1.7788,0.2502,7.1105,0.6566,0.381
170,1016500,1549506.0,896184.996859,6118406.0,320488311.0,2198742.30711,Upper West Side,649236.30711,653321.003141,2.7827,0.4076,6.8272,0.7047,0.5784
171,1016600,1040464.0,669303.737904,3087576.0,25406221.0,1872055.57576,East Harlem South,831591.57576,371160.262096,1.6493,0.3575,4.6131,0.5558,0.6433
173,1016800,1339748.0,664782.957291,6967146.0,85748012.0,2151827.96888,East Harlem South,812079.96888,674965.042709,3.2378,0.3089,10.4803,0.6226,0.4962
174,1016900,1298588.0,904508.299764,6014274.0,165239084.0,1937088.12181,Upper West Side,638500.12181,394079.700236,3.1048,0.4669,6.6492,0.6704,0.6965
175,1017000,1230078.0,558603.702105,3661477.0,30042755.0,1969157.93986,East Harlem South,739079.93986,671474.297895,1.8594,0.2837,6.5547,0.6247,0.4541
176,1017100,993166.0,751428.29508,6628053.0,175923920.0,2261887.34785,Upper West Side,1268721.34785,241737.70492,2.9303,0.3322,8.8206,0.4391,0.7566
177,1017200,995466.0,611746.345482,2966523.0,22380455.0,1912754.69231,East Harlem South,917288.69231,383719.654518,1.5509,0.3198,4.8493,0.5204,0.6145
178,1017300,1236692.0,825786.726857,6381697.0,160354316.0,1922492.17362,Upper West Side,685800.17362,410905.273143,3.3195,0.4295,7.728,0.6433,0.6677
179,1017401,625110.0,331417.657719,2607366.0,35110735.0,1086638.95422,East Harlem South,461528.95422,293692.342281,2.3995,0.305,7.8673,0.5753,0.5302
180,1017402,212148.0,141436.680314,1144661.0,14679404.0,547579.180176,East Harlem South,335431.180176,70711.319686,2.0904,0.2583,8.0931,0.3874,0.6667
181,1017500,2004967.0,696876.28439,7161101.0,219430603.0,2318953.25693,Upper West Side,313986.25693,1308090.71561,3.0881,0.3005,10.276,0.8646,0.3476
182,1017700,1287135.0,776585.386477,6834448.0,162979337.0,1879137.15056,Upper West Side,592002.15056,510549.613523,3.637,0.4133,8.8006,0.685,0.6033
183,1017800,1656397.0,774656.761171,3515111.0,40346419.0,2663014.71169,East Harlem North,1006617.71169,881740.238829,1.32,0.2909,4.5376,0.622,0.4677
184,1017900,1889249.0,635775.542835,5596247.0,163508196.0,2278120.86403,Upper West Side,388871.86403,1253473.45717,2.4565,0.2791,8.8022,0.8293,0.3365
185,1018000,1453936.0,598309.794091,3165779.0,30517446.0,2287541.21684,East Harlem North,833605.21684,855626.205909,1.3839,0.2616,5.2912,0.6356,0.4115
186,1018100,944176.0,572877.342984,6278983.0,80362765.0,1489438.00029,Upper West Side,545262.00029,371298.657016,4.2157,0.3846,10.9604,0.6339,0.6067
187,1018200,1162641.0,617149.155143,3275727.0,29246132.0,1904007.70829,East Harlem North,741366.70829,545491.844857,1.7204,0.3241,5.3078,0.6106,0.5308
188,1018300,826696.0,623146.847304,5078918.0,109750072.0,2391019.3265,Upper West Side,1564323.3265,203549.152696,2.1242,0.2606,8.1504,0.3458,0.7538
189,1018400,1185446.0,472928.779057,3331765.0,28395013.0,1903568.31875,East Harlem North,718122.31875,712517.220943,1.7503,0.2484,7.045,0.6227,0.3989
190,1018500,938243.0,349423.051668,4364684.0,50727652.0,1406908.14232,Upper West Side,468665.14232,588819.948332,3.1023,0.2484,12.4911,0.6669,0.3724
191,1018600,884647.0,291543.688959,1626810.0,17516711.0,1311722.27263,Central Harlem South,427075.27263,593103.311041,1.2402,0.2223,5.58,0.6744,0.3296
192,1018700,891957.0,641640.389645,5684674.0,59116187.0,2323892.3028,Upper West Side,1431935.3028,250316.610355,2.4462,0.2761,8.8596,0.3838,0.7194
193,1018800,918652.0,638589.441574,2882509.0,21312580.0,1599376.13286,East Harlem North,680724.13286,280062.558426,1.8023,0.3993,4.5139,0.5744,0.6951
194,1018900,1909164.0,775598.062884,4980014.0,62370444.0,2854221.16207,Upper West Side,945057.16207,1133565.93712,1.7448,0.2717,6.4209,0.6689,0.4063
195,1019000,681794.0,432763.649835,2249608.0,13476779.0,1117371.64056,Central Harlem South,435577.64056,249030.350165,2.0133,0.3873,5.1982,0.6102,0.6347
196,1019100,851570.0,630368.296961,5609307.0,57721739.0,2385127.33758,Upper West Side,1533557.33758,221201.703039,2.3518,0.2643,8.8985,0.357,0.7402
197,1019200,1010602.0,235983.814329,1113774.0,12804608.0,2048253.28499,East Harlem North,1037651.28499,774618.185671,0.5438,0.1152,4.7197,0.4934,0.2335
198,1019300,1112312.0,686136.460923,4354936.0,53157630.0,1892879.09066,Morningside Heights,780567.09066,426175.539077,2.3007,0.3625,6.347,0.5876,0.6169
199,1019400,1184109.0,529052.057441,3348208.0,21770260.0,1881141.41354,East Harlem North,697032.41354,655056.942559,1.7799,0.2812,6.3287,0.6295,0.4468
201,1019600,992447.0,657744.770991,3274389.0,23885198.0,1902090.81861,East Harlem North,909643.81861,334702.229009,1.7215,0.3458,4.9782,0.5218,0.6628
202,1019701,1946554.0,272032.302712,14454035.0,41190300.0,2540523.6394,Morningside Heights,593969.6394,1674521.69729,5.6894,0.1071,53.1335,0.7662,0.1398
203,1019702,317364.0,171961.821173,1063530.0,13476633.0,509562.31902,Central Harlem South,192198.31902,145402.178827,2.0871,0.3375,6.1847,0.6228,0.5418
204,1019800,1562842.0,482130.942287,2236492.0,25421576.0,2431074.16976,East Harlem North,868232.16976,1080711.05771,0.92,0.1983,4.6388,0.6429,0.3085
205,1019900,926524.0,664508.641478,5324799.0,58840469.0,2406472.69737,Morningside Heights,1479948.69737,262015.358522,2.2127,0.2761,8.0131,0.385,0.7172
206,1020000,810318.0,585144.882795,2417859.0,17870572.0,1391141.17595,Central Harlem South,580823.17595,225173.117205,1.738,0.4206,4.1321,0.5825,0.7221
207,1020101,363012.0,306947.520351,2357203.0,13661550.0,593473.679564,Morningside Heights,230461.679564,56064.479649,3.9719,0.5172,7.6795,0.6117,0.8456
208,1020102,505955.0,349766.639764,1960911.0,14170696.0,897067.902897,Central Harlem South,391112.902897,156188.360236,2.1859,0.3899,5.6063,0.564,0.6913
209,1020300,1427937.0,685798.502035,4127486.0,50689350.0,1916590.00457,Morningside Heights,488653.00457,742138.497965,2.1536,0.3578,6.0185,0.745,0.4803
211,1020600,846231.0,550110.332933,2303796.0,22573240.0,1602693.80227,Central Harlem North-Polo Grounds,756462.80227,296120.667067,1.4375,0.3432,4.1879,0.528,0.6501
212,1020701,306206.0,209635.064682,1635010.0,6934950.0,508697.481157,Morningside Heights,202491.481157,96570.935318,3.2141,0.4121,7.7993,0.6019,0.6846
213,1020800,961548.0,579961.561745,2631041.0,17271002.0,1599291.86723,Central Harlem North-Polo Grounds,637743.86723,381586.438255,1.6451,0.3626,4.5366,0.6012,0.6032
214,1020901,734553.0,295192.633207,1833194.0,14483048.0,1246712.43968,Morningside Heights,512159.43968,439360.366793,1.4704,0.2368,6.2102,0.5892,0.4019
215,1021000,993159.0,264080.703028,2579201.0,14932350.0,2157287.86383,East Harlem North,1164128.86383,729078.296972,1.1956,0.1224,9.7667,0.4604,0.2659
217,1021200,1280445.0,658227.722656,5359576.0,34651810.0,1900292.29558,Central Harlem North-Polo Grounds,619847.29558,622217.277344,2.8204,0.3464,8.1424,0.6738,0.5141
218,1021303,1035499.0,694176.008813,2887683.0,22068795.0,1650328.22328,Manhattanville,614829.22328,341322.991187,1.7498,0.4206,4.1599,0.6275,0.6704
219,1021400,1003585.0,316620.738894,1841642.0,9839700.0,1460341.27882,Central Harlem North-Polo Grounds,456756.27882,686964.261106,1.2611,0.2168,5.8166,0.6872,0.3155
