,CensusTract,LotArea,FootPrint,FloorSpace,SurfaceArea,ct_density,dist_from_esb,Neighborhood,floorarea_sqft,s,p,f,l,r
88,1009300,1224016.0,654621.913306,6085668.0,1929422.6884,3.15413933742,971.807300982,Hudson Yards-Chelsea-Flatiron-Union Square,6085668,3.1541,0.3393,9.2965,0.6344,0.5348
89,1009400,962891.0,853130.340974,15459102.0,1646379.32322,9.38975713675,695.392946971,Midtown-Midtown South,15459102,9.3898,0.5182,18.1204,0.5849,0.886
90,1009500,1089847.0,986606.554397,9212498.0,1851216.00334,5.14941583413,353.54506507,Midtown-Midtown South,9532681,4.9765,0.533,9.3376,0.5887,0.9053
91,1009600,1140412.0,1037423.90318,15339954.0,1887288.40108,8.36471627281,690.534449263,Midtown-Midtown South,15786632,8.128,0.5497,14.7866,0.6043,0.9097
92,1009700,1172924.0,640435.333216,5397781.0,1860580.94065,2.93193909537,822.812132723,Hudson Yards-Chelsea-Flatiron-Union Square,5455110,2.9011,0.3442,8.4283,0.6304,0.546
93,1009800,1219752.0,907608.994695,8664833.0,1906016.35002,5.13475553339,1437.02710106,Turtle Bay-East Midtown,9786928,4.546,0.4762,9.5469,0.6399,0.7441
94,1009900,6449009.0,3961125.58048,22588784.0,10715840.3901,2.09560428137,1324.70567534,Hudson Yards-Chelsea-Flatiron-Union Square,22456161,2.108,0.3697,5.7026,0.6018,0.6142
95,1010000,1012983.0,839414.238828,14416049.0,1860938.37794,7.89367620881,1313.31827038,Turtle Bay-East Midtown,14689645,7.7467,0.4511,17.1739,0.5443,0.8287
96,1010100,862219.0,763901.230929,10290416.0,1891336.08132,5.67273003776,226.688077612,Midtown-Midtown South,10729039,5.4408,0.4039,13.4709,0.4559,0.886
97,1010200,1080793.0,952912.647934,16268499.0,1860992.5363,8.91348550649,1255.87383703,Midtown-Midtown South,16587930,8.7418,0.512,17.0724,0.5808,0.8817
98,1010300,450929.0,387003.924213,4216735.0,1875918.12271,2.25445393847,777.421468818,Hudson Yards-Chelsea-Flatiron-Union Square,4229171,2.2478,0.2063,10.8958,0.2404,0.8582
99,1010400,1189756.0,1011398.2108,15415506.0,1864600.35091,8.51866620761,1252.87176205,Midtown-Midtown South,15883908,8.2675,0.5424,15.2418,0.6381,0.8501
100,1010601,763759.0,500255.931829,8692768.0,1305574.86579,6.65819190287,2010.93659555,Turtle Bay-East Midtown,8692768,6.6582,0.3832,17.3766,0.585,0.655
101,1010602,685333.0,405829.063675,3974692.0,1344539.1764,2.95647168173,2359.97528305,Lenox Hill-Roosevelt Island,3975092,2.9562,0.3018,9.794,0.5097,0.5922
102,1010800,1183346.0,929961.917411,11611802.0,1950021.48118,6.29563167303,1794.54523853,Turtle Bay-East Midtown,12276617,5.9547,0.4769,12.4863,0.6068,0.7859
103,1010900,1136437.0,1102187.22874,17184880.0,1891364.6233,9.53702145942,232.934537346,Midtown-Midtown South,18037985,9.086,0.5827,15.5916,0.6009,0.9699
104,1011000,966885.0,723107.264451,6157769.0,1901324.18249,3.31068581464,2176.87931669,Lenox Hill-Roosevelt Island,6294687,3.2387,0.3803,8.5157,0.5085,0.7479
105,1011100,874728.0,770094.029976,7283558.0,1889012.18619,3.77427528108,779.155800236,Hudson Yards-Chelsea-Flatiron-Union Square,7129652,3.8557,0.4077,9.458,0.4631,0.8804
106,1011201,495491.0,433016.11927,5929602.0,856164.356123,7.00704012856,1809.40701702,Midtown-Midtown South,5999178,6.9258,0.5058,13.6937,0.5787,0.8739
