BoroCT2010,LotArea,FP
2025300,734727.0,512639.926148
2025400,1199829.0,520770.454359
2025500,1121115.0,606612.128569
2025600,1072512.0,465860.49026
2025700,498356.0,168368.595563
2026100,1654225.0,305279.002337
2026300,1115611.0,493503.35564
2026400,2904126.0,1205709.76371
2026500,1186368.0,944184.052709
2026601,1101646.0,486030.080777
2026602,2078265.0,1062974.72132
2026701,462303.0,304923.603035
2026702,1005593.0,574031.559179
2026900,1392015.0,509851.894345
2027300,1349191.0,705224.862467
2027401,4223365.0,1376162.23114
2027402,4705975.0,1094798.13624
2027600,16397391.0,15595.4551738
2027700,954868.0,441349.588486
2027900,1740401.0,741120.775988
2028100,789846.0,346666.511472
2028300,1072280.0,549184.272689
2028400,6526049.0,1503901.3138
2028500,1768809.0,607377.584211
2028600,1384849.0,558439.945058
2028700,1123307.0,515826.918827
2028800,2347294.0,824645.706445
2028900,1365409.0,600196.304374
2029301,1254711.0,231427.557526
2029302,2848818.0,821829.273024
2029500,1329485.0,713926.425271
2029600,4006039.0,1207363.83237
2029700,1439301.0,598244.44261
2030000,2913420.0,1256128.93136
2030100,1091769.0,269578.675818
2030200,2568904.0,545418.801581
2030701,3239592.0,864301.87983
2030900,7379833.0,1054227.71886
2031000,4536627.0,1437111.37767
2031200,1439326.0,494728.605801
2031400,1473546.0,506625.791415
2031600,1224080.0,428786.985953
2031800,1163649.0,412299.246721
2031900,2121737.0,187194.726075
2032300,4352827.0,973605.372181
2032400,2155612.0,545401.791706
2032600,2206125.0,809855.974184
2032800,1445357.0,522302.304939
2033000,1343775.0,677482.718617
2033201,912594.0,382606.169938
2033202,787241.0,364549.753074
2033400,33980571.0,947725.013095
2033500,3814928.0,832976.996043
2033600,1615533.0,497359.269056
2033700,2795505.0,887091.383046
2033800,1087370.0,621724.541163
2034000,1068157.0,552004.482966
2034200,925103.0,374525.454155
2034300,808596.0,307169.632892
2034400,990455.0,401427.852855
2034500,1735901.0,595692.804063
2034800,2964785.0,1018356.30078
2035000,1106473.0,427333.971315
2035100,3939272.0,910367.597656
2035600,2818146.0,829328.01914
2035800,4139012.0,1504568.38116
2035900,677527.0,378286.811866
2036000,1780965.0,615499.018406
2036100,1079911.0,469610.521807
2036300,1152655.0,676650.570592
2036400,1392028.0,628150.442814
2036501,645174.0,372452.526523
2036502,513503.0,280258.56383
2036700,648861.0,348257.530001
2036800,1161018.0,431843.171931
2036901,511660.0,332834.416902
2036902,357270.0,152129.847166
2037000,1089867.0,453885.933758
2037100,1269339.0,570320.984862
2037200,1267628.0,504860.110979
2037300,1117615.0,558096.085086
2037400,1121283.0,437600.42284
2037504,1275114.0,816303.249244
2037600,831390.0,335230.152946
2037800,768877.0,384850.366853
2037900,1160357.0,679556.009346
2038000,1489690.0,714927.24476
2038100,916514.0,501511.222341
2038200,1029048.0,424037.743172
2038301,604722.0,363473.577666
2038302,910778.0,508241.940549
2038500,1103062.0,655631.213494
2038600,2563319.0,1110215.01448
2038700,1160524.0,742451.849055
2038800,1044539.0,407813.169757
2038900,1122673.0,662382.958644
2039000,1430339.0,635764.318153
2039100,1337004.0,843265.282939
2039200,745745.0,333396.436111
2039300,1264053.0,684144.548629
2039400,1088920.0,552621.143799
2039500,2466318.0,1062577.98923
2039600,1655716.0,729989.937223
2039700,4804466.0,1063710.49473
2039800,1416329.0,527908.465715
2039901,903345.0,569369.339801
2039902,807539.0,535676.791155
2040100,1180308.0,497181.352526
2040302,390846.0,265139.029349
2040303,558678.0,338784.891941
2040304,462167.0,297272.349565
2040400,1594193.0,638236.429991
2040501,583437.0,367945.225496
2040502,1071824.0,570868.068904
2040600,1718273.0,748157.679323
2040701,347923.0,226802.528225
2040702,1305064.0,625020.173805
2040800,941644.0,497268.968505
2040900,9333558.0,1393620.63995
2041100,653745.0,413705.546658
2041300,1107727.0,640042.860733
2041400,3062748.0,1404770.32445
2041500,982033.0,563385.198516
2041800,1493413.0,763414.50735
2041900,1311721.0,778940.260776
2042000,1098270.0,598943.442226
2042100,1288055.0,933973.309681
2042200,1306641.0,574402.895976
2042300,1116793.0,383646.232433
2042400,1247874.0,473268.757371
2042500,1426312.0,855070.276758
2042600,3478711.0,1299353.60213
2042800,1150625.0,442034.5107
2042901,490450.0,288391.437928
2042902,689867.0,401828.919947
2043000,1398229.0,572436.736996
2043100,1443171.0,936225.206131
2043400,1679616.0,973960.463289
2043500,65919867.0,688942.948218
2043600,1087864.0,439841.108994
2044200,1644128.0,725965.689848
2044400,2736584.0,857360.025672
2044800,1176636.0,421112.835311
2044901,1114770.0,469334.141315
2044902,1158316.0,519302.853097
2045101,974808.0,475675.696003
2045102,1289806.0,542553.535499
2045600,4718131.0,1327090.67157
2045800,2506120.0,347745.867587
2046000,2124456.0,558878.317539
2046201,14802378.0,2960102.79091
2046202,5364910.0,1984944.09101
2048400,3748434.0,1275192.62869
2050400,95326544.0,267829.328091
2051600,15857299.0,2294027.8785
3000100,1942159.0,865946.010816
3000200,1742589.0,1222405.75657
3000301,1909817.0,602818.122243
3000501,630242.0,455764.174228
3000502,692794.0,489831.326574
3000700,1454427.0,701962.716247
3000900,1017403.0,795429.443578
3001100,1047425.0,785912.264883
3001300,1760528.0,645199.470232
3001500,1596954.0,996794.930666
3001800,17716569.0,6190657.40462
3002000,928616.0,760228.879971
3002100,3213257.0,1838854.11288
3002200,1998187.0,1415632.34671
3002300,942450.0,163325.674044
3002901,755871.0,212645.229225
3003000,695048.0,351211.613392
3003100,2535773.0,496567.282025
3003300,1004066.0,731316.981046
3003400,2179044.0,838911.55445
3003500,860791.0,584117.50798
3003600,915346.0,523509.923528
3003700,899377.0,885552.976713
3003800,671969.0,357838.795179
3003900,1004420.0,692105.409254
3004100,1126885.0,668559.334526
3004300,1082702.0,709906.216202
3004400,11975873.0,1044797.61815
3004500,1197932.0,698740.860864
3004600,11371098.0,669205.973151
3004700,1912520.0,946392.532888
3004900,717419.0,432780.152051
3005000,1338078.0,623648.557918
3005100,1033168.0,630747.092364
3005201,892770.0,294410.143765
3005202,671676.0,376176.949679
3005300,12789462.0,4096683.56602
3005400,10387961.0,567253.570454
3005601,791601.0,467045.928673
3005602,9933943.0,304033.55558
3005800,1391476.0,740704.101577
3005900,1853753.0,1254776.70202
3006000,1087115.0,612293.762426
3006200,1186239.0,619955.900434
3006300,612578.0,369278.514588
3006400,1492649.0,777714.937572
3006500,1585043.0,884707.456289
3006600,1053282.0,650876.927579
3006700,1140594.0,671837.182146
3006800,1377983.0,821290.169375
3006900,1288447.0,804029.626782
3007000,794067.0,472271.479581
3007100,1309483.0,511636.319171
3007200,329657.0,196248.400085
3007400,959540.0,562226.179193
3007500,2003212.0,1063194.1386
3007600,996002.0,591490.238592
3007700,2268416.0,1156597.16583
3007800,998938.0,573486.617285
3008000,991213.0,546796.079864
3008200,936545.0,525427.654283
3008400,1414370.0,877635.569569
3008500,2098661.0,362981.840455
3008600,1067080.0,21424.0996943
3008800,701397.0,726173.838661
3009000,690680.0,611898.253716
3009200,842407.0,523250.286291
3009400,1117830.0,733415.812838
3009600,1116929.0,650201.205147
3009800,1125685.0,654555.927995
3010000,1099304.0,639835.908724
3010100,2217432.0,1429581.41963
3010200,1116863.0,639777.251708
3010400,1111903.0,708617.434821
3010600,1114470.0,661319.238809
3010800,1086072.0,661551.896297
3011000,1016833.0,522615.405579
3011200,1145450.0,739038.137153
3011400,1176448.0,803795.212722
3011600,1157966.0,612891.659225
3011700,1353296.0,953807.784351
3011800,1153010.0,724214.148096
3011900,4162706.0,2762408.4309
3012000,1114713.0,743806.518076
3012100,871023.0,589896.585075
3012200,1124605.0,723570.825973
3012600,1089217.0,556296.51008
3012700,1075193.0,626471.897932
3012801,508246.0,311316.481861
3012901,1178696.0,732195.131847
3012902,680158.0,405803.853607
3013000,1349909.0,778117.16518
3013100,1157794.0,605712.689924
3013200,767369.0,413196.631559
3013300,1042984.0,633154.857542
3013400,1538278.0,870574.713942
3013500,1066569.0,571490.086959
3013600,1408037.0,823417.402659
3013700,1070678.0,628964.377222
3013800,1200473.0,763613.144793
3013900,1063819.0,634834.481579
3014000,994892.0,526597.857542
3014100,1153066.0,685003.311786
3014200,903873.0,562329.50387
3014300,1293888.0,788593.778102
3014500,1504242.0,802297.726572
3014700,709725.0,384335.994157
3014800,977080.0,412840.874167
3014900,1689279.0,968714.843935
3015000,966684.0,436597.064077
3015100,1067918.0,655623.627422
3015200,2135310.0,604474.290889
3015300,1031003.0,628798.878996
3015400,10490000.0,33505.2645116
3015500,1085204.0,650009.659548
3015700,1216250.0,768690.004598
3015900,18480881.0,1036970.79601
3016000,1529787.0,964285.879393
3016100,1068430.0,647796.050588
3016200,4373466.0,435568.9594
3016300,1084559.0,586692.616192
3016400,7725343.0,911384.193434
3016500,1332023.0,854465.295282
3016600,1948413.0,794424.020878
3016700,1221543.0,743638.900176
3016800,897934.0,351948.320344
3016900,1482238.0,841476.94005
3017000,1476828.0,700881.040279
3017100,1453816.0,790540.151924
3017200,1447308.0,679128.724803
3017400,883363.0,375036.719932
3017500,20309060.0,64723.9150163
3017600,821035.0,381394.022226
3017700,22829374.0,529237.42412
3017800,1025638.0,588334.442455
3017900,920479.0,371898.653772
3018000,1213206.0,597689.747526
3018100,1137252.0,618443.392386
3018200,1159938.0,642316.813837
3018300,953981.0,536307.445764
3018400,1094577.0,476275.533878
3018501,823052.0,225631.976955
3018600,840266.0,463329.963593
3018700,504255.0,244862.981984
3018800,1209374.0,638916.019471
3019000,1502812.0,813820.276342
3019100,1412291.0,884565.783707
3019200,1045591.0,671544.196414
3019300,2173843.0,640008.34599
3019400,1166506.0,607941.430391
3019500,927881.0,494433.500428
3019600,1372806.0,753875.067894
3019700,1103524.0,559056.724162
3019800,979919.0,489820.000641
3019900,1102779.0,686829.09343
3020000,971693.0,553028.863298
3020100,1207944.0,642788.151081
3020200,979087.0,496718.833159
3020300,829644.0,483938.237875
3020400,977405.0,509619.986768
3020500,1069904.0,594467.961241
3020600,1248250.0,650660.819134
3020700,995424.0,549732.89186
3020800,1049518.0,593269.467843
3021000,1071527.0,599364.65181
3021100,1175779.0,431477.290931
3021200,1294910.0,724391.711898
3021300,1172893.0,646821.945113
3021400,894370.0,520813.508378
3021500,1052094.0,626864.87119
3021600,1223506.0,688849.814852
3021700,821397.0,476906.980911
3021800,1116646.0,714723.645093
3021900,968544.0,546551.955451
3022000,1357872.0,874850.122903
3022100,995674.0,566087.008244
3022200,1191836.0,798819.102567
3022400,1275021.0,738423.388904
3022600,953165.0,703486.156518
3022700,1450098.0,861750.425582
3022800,1044972.0,696134.896559
3022900,1127939.0,613060.660975
3023000,1104676.0,703284.214049
3023100,1114052.0,660705.870401
3023200,1627703.0,1054703.52431
3023300,1139242.0,570013.130358
3023400,1217338.0,780545.914426
3023500,1003170.0,556796.412987
3023600,1224293.0,803172.28883
3023800,1205172.0,771137.427468
3024000,1200059.0,722681.82068
3024100,1170739.0,796850.591861
3024200,1211051.0,728295.185101
3024300,1091121.0,567380.762853
3024400,1110266.0,629090.094923
3024500,1174037.0,657993.6712
3024600,1244740.0,678482.817872
